"","dependent_var","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","bpm_ecg","as.factor(fear_rating_per_p)2",0.433,0.185,2.339,0.019,0.07,0.796
"2","bpm_ecg","as.factor(fear_rating_per_p)3",0.87,0.186,4.69,0,0.506,1.234
"3","bpm_ecg","as.factor(fear_rating_per_p)4",1.217,0.186,6.545,0,0.852,1.582
"4","cardiac_deceleration","as.factor(fear_rating_per_p)2",-1.658,1.751,-0.947,0.344,-5.094,1.777
"5","cardiac_deceleration","as.factor(fear_rating_per_p)3",-7.089,1.758,-4.031,0,-10.539,-3.638
"6","cardiac_deceleration","as.factor(fear_rating_per_p)4",-12.795,1.766,-7.246,0,-16.262,-9.329
"7","gaze_dispersion","as.factor(fear_rating_per_p)2",-0.138,0.138,-1.003,0.316,-0.408,0.132
"8","gaze_dispersion","as.factor(fear_rating_per_p)3",0.186,0.138,1.348,0.178,-0.085,0.456
"9","gaze_dispersion","as.factor(fear_rating_per_p)4",-0.062,0.138,-0.453,0.651,-0.333,0.208
"10","pupil_diam_raw","as.factor(fear_rating_per_p)2",0.04,0.064,0.627,0.531,-0.085,0.165
"11","pupil_diam_raw","as.factor(fear_rating_per_p)3",0.056,0.064,0.872,0.384,-0.07,0.181
"12","pupil_diam_raw","as.factor(fear_rating_per_p)4",0.154,0.064,2.389,0.017,0.027,0.281
"13","pupil_dilation_speed","as.factor(fear_rating_per_p)2",0.072,0.032,2.281,0.023,0.01,0.134
"14","pupil_dilation_speed","as.factor(fear_rating_per_p)3",0.091,0.032,2.851,0.004,0.028,0.153
"15","pupil_dilation_speed","as.factor(fear_rating_per_p)4",0.143,0.032,4.437,0,0.08,0.206
"16","resp_std","as.factor(fear_rating_per_p)2",6.179,3.072,2.012,0.044,0.154,12.204
"17","resp_std","as.factor(fear_rating_per_p)3",10.708,3.092,3.463,0.001,4.641,16.774
"18","resp_std","as.factor(fear_rating_per_p)4",26.996,3.116,8.664,0,20.881,33.112
"19","rmssd","as.factor(fear_rating_per_p)2",-0.542,1.019,-0.531,0.595,-2.541,1.458
"20","rmssd","as.factor(fear_rating_per_p)3",-0.355,1.022,-0.347,0.728,-2.361,1.651
"21","rmssd","as.factor(fear_rating_per_p)4",-0.476,1.026,-0.464,0.643,-2.489,1.537
"22","scr_amplitude","as.factor(fear_rating_per_p)2",0.122,0.052,2.352,0.019,0.02,0.225
"23","scr_amplitude","as.factor(fear_rating_per_p)3",0.085,0.052,1.628,0.104,-0.017,0.187
"24","scr_amplitude","as.factor(fear_rating_per_p)4",0.027,0.052,0.521,0.602,-0.075,0.13
